# big5 unicode
0xA0E3 0x00F2
0xA0C3 0x00F3
0xA0F3 0x00F4
0xA0CF 0x00F5
0xA0C9 0x00F6
0xA1D2 0x00F7
0xA0E9 0x00F8
0xA0E4 0x00F9
0xA0C4 0x00FA
0xA0F4 0x00FB
0xA0CA 0x00FC
0x7920 0x00FD
0xA0EC 0x00FE
0xA0ED 0x00FF
0xFFFD 0x0100
0xA0B0 0x0101
0xFFFD 0x0102
0xFFFD 0x0103
0xFFFD 0x0104
0xFFFD 0x0105
0xFFFD 0x0106
0xFFFD 0x0107
0xFFFD 0x0108
0xFFFD 0x0109
0xFFFD 0x010A
0xFFFD 0x010B
0xFFFD 0x010C
0xFFFD 0x010D
0xFFFD 0x010E
0xFFFD 0x010F
0xFFFD 0x0110
0xFFFD 0x0111
0xFFFD 0x0112
0xA0B1 0x0113
0xFFFD 0x0114
0xFFFD 0x0115
0xFFFD 0x0116
0xFFFD 0x0117
0xFFFD 0x0118
0xFFFD 0x0119
0xFFFD 0x011A
0xA0D1 0x011B
0xFFFD 0x011C
0xFFFD 0x011D
0xFFFD 0x011E
0xFFFD 0x011F
0xFFFD 0x0120
0xFFFD 0x0121
0xFFFD 0x0122
0xFFFD 0x0123
0xFFFD 0x0124
0xFFFD 0x0125
0xFFFD 0x0126
0xFFFD 0x0127
0xFFFD 0x0128
0xFFFD 0x0129
0xFFFD 0x012A
0xA0B2 0x012B
0xFFFD 0x012C
0xFFFD 0x012D
0xFFFD 0x012E
0xFFFD 0x012F
0xFFFD 0x0130
0xFFFD 0x0131
0xFFFD 0x0132
0xFFFD 0x0133
0xFFFD 0x0134
0xFFFD 0x0135
0xFFFD 0x0136
0xFFFD 0x0137
0xFFFD 0x0138
0xFFFD 0x0139
0xFFFD 0x013A
0xFFFD 0x013B
0xFFFD 0x013C
0xFFFD 0x013D
0xFFFD 0x013E
0xFFFD 0x013F
0xFFFD 0x0140
0xFFFD 0x0141
0xFFFD 0x0142
0xFFFD 0x0143
0xFFFD 0x0144
0xFFFD 0x0145
0xFFFD 0x0146
0xFFFD 0x0147
0xFFFD 0x0148
0xFFFD 0x0149
0x9BD5 0x014A
0xFFFD 0x014B
0xFFFD 0x014C
0xA0B3 0x014D
0xFFFD 0x014E
0xFFFD 0x014F
0xFFFD 0x0150
0xFFFD 0x0151
0xFFFD 0x0152
0x9BE5 0x0153
0xFFFD 0x0154
0xFFFD 0x0155
0xFFFD 0x0156
0xFFFD 0x0157
0xFFFD 0x0158
0xFFFD 0x0159
0xFFFD 0x015A
0xFFFD 0x015B
0xFFFD 0x015C
0xFFFD 0x015D
0xFFFD 0x015E
0xFFFD 0x015F
0xFFFD 0x0160
0xFFFD 0x0161
0xFFFD 0x0162
0xFFFD 0x0163
0xFFFD 0x0164
0xFFFD 0x0165
0xFFFD 0x0166
0xFFFD 0x0167
0xFFFD 0x0168
0xFFFD 0x0169
0xFFFD 0x016A
0xA0B4 0x016B
0xFFFD 0x016C
0xFFFD 0x016D
0xFFFD 0x016E
0xFFFD 0x016F
0xFFFD 0x0170
0xFFFD 0x0171
0xFFFD 0x0172
0xFFFD 0x0173
0xFFFD 0x0174
0xFFFD 0x0175
0xFFFD 0x0176
0xFFFD 0x0177
0xFFFD 0x0178
0xFFFD 0x0179
0xFFFD 0x017A
0xFFFD 0x017B
0xFFFD 0x017C
0xFFFD 0x017D
0xFFFD 0x017E
0xFFFD 0x017F
0xFFFD 0x0180
0xFFFD 0x0181
0xFFFD 0x0182
0xFFFD 0x0183
0xFFFD 0x0184
0xFFFD 0x0185
0xFFFD 0x0186
0xFFFD 0x0187
0xFFFD 0x0188
0xFFFD 0x0189
0xFFFD 0x018A
0xFFFD 0x018B
0xFFFD 0x018C
0xFFFD 0x018D
0xFFFD 0x018E
0xFFFD 0x018F
0xFFFD 0x0190
0xFFFD 0x0191
0xA0FE 0x0192
0xFFFD 0x0193
0xFFFD 0x0194
0xFFFD 0x0195
0xFFFD 0x0196
0xFFFD 0x0197
0xFFFD 0x0198
0xFFFD 0x0199
0xFFFD 0x019A
0xFFFD 0x019B
0xFFFD 0x019C
0xFFFD 0x019D
0xFFFD 0x019E
0xFFFD 0x019F
0xFFFD 0x01A0
0xFFFD 0x01A1
0xFFFD 0x01A2
0xFFFD 0x01A3
0xFFFD 0x01A4
0xFFFD 0x01A5
0xFFFD 0x01A6
0xFFFD 0x01A7
0xFFFD 0x01A8
0xFFFD 0x01A9
0xFFFD 0x01AA
0xFFFD 0x01AB
0xFFFD 0x01AC
0xFFFD 0x01AD
0xFFFD 0x01AE
0xFFFD 0x01AF
0xFFFD 0x01B0
0xFFFD 0x01B1
0xFFFD 0x01B2
0xFFFD 0x01B3
0xFFFD 0x01B4
0xFFFD 0x01B5
0xFFFD 0x01B6
0xFFFD 0x01B7
0xFFFD 0x01B8
0xFFFD 0x01B9
0xFFFD 0x01BA
0xFFFD 0x01BB
0xFFFD 0x01BC
0xFFFD 0x01BD
0xFFFD 0x01BE
0xFFFD 0x01BF
0xFFFD 0x01C0
0xFFFD 0x01C1
0xFFFD 0x01C2
0xFFFD 0x01C3
0xFFFD 0x01C4
0xFFFD 0x01C5
0xFFFD 0x01C6
0xFFFD 0x01C7
0xFFFD 0x01C8
0xFFFD 0x01C9
0xFFFD 0x01CA
0xFFFD 0x01CB
0xFFFD 0x01CC
0xFFFD 0x01CD
0xA0D0 0x01CE
0xFFFD 0x01CF
0xA0D2 0x01D0
0xFFFD 0x01D1
0xA0D3 0x01D2
0xFFFD 0x01D3
0xA0D4 0x01D4
0xFFFD 0x01D5
0xA0B5 0x01D6
0xFFFD 0x01D7
0xA0C5 0x01D8
0xFFFD 0x01D9
0xA0D5 0x01DA
0xFFFD 0x01DB
0xA0E5 0x01DC
0xFFFD 0x01DD
0xFFFD 0x01DE
0xFFFD 0x01DF
0xFFFD 0x01E0
0xFFFD 0x01E1
0xFFFD 0x01E2
0xFFFD 0x01E3
0xFFFD 0x01E4
0xFFFD 0x01E5
0xFFFD 0x01E6
0xFFFD 0x01E7
0xFFFD 0x01E8
0xFFFD 0x01E9
0xFFFD 0x01EA
0xFFFD 0x01EB
0xFFFD 0x01EC
0xFFFD 0x01ED
0xFFFD 0x01EE
0xFFFD 0x01EF
0xFFFD 0x01F0
0xFFFD 0x01F1
0xFFFD 0x01F2
0xFFFD 0x01F3
0xFFFD 0x01F4
0xFFFD 0x01F5
0xFFFD 0x01F6
0xFFFD 0x01F7
0xFFFD 0x01F8
0xFFFD 0x01F9
0xFFFD 0x01FA
0xFFFD 0x01FB
0xFFFD 0x01FC
0xFFFD 0x01FD
0xFFFD 0x01FE
0xFFFD 0x01FF
0xFFFD 0x0200
0xFFFD 0x0201
0xFFFD 0x0202
0xFFFD 0x0203
0xFFFD 0x0204
0xFFFD 0x0205
0xFFFD 0x0206
0xFFFD 0x0207
0xFFFD 0x0208
0xFFFD 0x0209
0xFFFD 0x020A
0xFFFD 0x020B
0xFFFD 0x020C
0xFFFD 0x020D
0xFFFD 0x020E
0xFFFD 0x020F
0xFFFD 0x0210
0xFFFD 0x0211
0xFFFD 0x0212
0xFFFD 0x0213
0xFFFD 0x0214
0xFFFD 0x0215
0xFFFD 0x0216
0xFFFD 0x0217
0xFFFD 0x0218
0xFFFD 0x0219
0xFFFD 0x021A
0xFFFD 0x021B
0xFFFD 0x021C
0xFFFD 0x021D
0xFFFD 0x021E
0xFFFD 0x021F
0xFFFD 0x0220
0xFFFD 0x0221
0xFFFD 0x0222
0xFFFD 0x0223
0xFFFD 0x0224
0xFFFD 0x0225
0xFFFD 0x0226
0xFFFD 0x0227
0xFFFD 0x0228
0xFFFD 0x0229
0xFFFD 0x022A
0xFFFD 0x022B
0xFFFD 0x022C
0xFFFD 0x022D
0xFFFD 0x022E
0xFFFD 0x022F
0xFFFD 0x0230
0xFFFD 0x0231
0xFFFD 0x0232
0xFFFD 0x0233
0xFFFD 0x0234
0xFFFD 0x0235
0xFFFD 0x0236
0xFFFD 0x0237
0xFFFD 0x0238
0xFFFD 0x0239
0xFFFD 0x023A
0xFFFD 0x023B
0xFFFD 0x023C
0xFFFD 0x023D
0xFFFD 0x023E
0xFFFD 0x023F
0xFFFD 0x0240
0xFFFD 0x0241
0xFFFD 0x0242
0xFFFD 0x0243
0xFFFD 0x0244
0xFFFD 0x0245
0xFFFD 0x0246
0xFFFD 0x0247
0xFFFD 0x0248
0xFFFD 0x0249
0xFFFD 0x024A
0xFFFD 0x024B
0xFFFD 0x024C
0xFFFD 0x024D
0xFFFD 0x024E
0xFFFD 0x024F
0xFFFD 0x0250
0x9BCB 0x0251
0x9BE6 0x0252
0xFFFD 0x0253
0x9BCC 0x0254
0xFFFD 0x0255
0xFFFD 0x0256
0xFFFD 0x0257
0xFFFD 0x0258
0x9BCF 0x0259
0x9BD0 0x025A
0x9BC8 0x025B
0x9BD1 0x025C
0x9BCE 0x025D
0xFFFD 0x025E
0xFFFD 0x025F
0xFFFD 0x0260
0x9BD2 0x0261
0xFFFD 0x0262
0xFFFD 0x0263
0xFFFD 0x0264
0xFFFD 0x0265
0xFFFD 0x0266
0xFFFD 0x0267
0xFFFD 0x0268
0xFFFD 0x0269
0x9BC7 0x026A
0xFFFD 0x026B
0xFFFD 0x026C
0xFFFD 0x026D
0xFFFD 0x026E
0x9BE0 0x026F
0xFFFD 0x0270
0xFFFD 0x0271
0xFFFD 0x0272
0xFFFD 0x0273
0xFFFD 0x0274
0x9BD7 0x0275
0xFFFD 0x0276
0xFFFD 0x0277
0x9BE1 0x0278
0xFFFD 0x0279
0xFFFD 0x027A
0xFFFD 0x027B
0xFFFD 0x027C
0xFFFD 0x027D
0xFFFD 0x027E
0xFFFD 0x027F
0xFFFD 0x0280
0xFFFD 0x0281
0xFFFD 0x0282
0x9BD9 0x0283
0xFFFD 0x0284
0xFFFD 0x0285
0xFFFD 0x0286
0x9BE2 0x0287
0xFFFD 0x0288
0xFFFD 0x0289
0x9BCD 0x028A
0xFFFD 0x028B
0x9BCA 0x028C
0xFFFD 0x028D
0xFFFD 0x028E
0xFFFD 0x028F
0xFFFD 0x0290
0xFFFD 0x0291
0x9BDA 0x0292
0xFFFD 0x0293
0xFFFD 0x0294
0xFFFD 0x0295
0xFFFD 0x0296
0xFFFD 0x0297
0xFFFD 0x0298
0xFFFD 0x0299
0xFFFD 0x029A
0xFFFD 0x029B
0xFFFD 0x029C
0xFFFD 0x029D
0xFFFD 0x029E
0xFFFD 0x029F
0xFFFD 0x02A0
0xFFFD 0x02A1
0xFFFD 0x02A2
0xFFFD 0x02A3
0x9BDC 0x02A4
0xFFFD 0x02A5
0xFFFD 0x02A6
0x9BDB 0x02A7
0xFFFD 0x02A8
0xFFFD 0x02A9
0xFFFD 0x02AA
0xFFFD 0x02AB
0xFFFD 0x02AC
0xFFFD 0x02AD
0xFFFD 0x02AE
0xFFFD 0x02AF
0xFFFD 0x02B0
0xFFFD 0x02B1
0xFFFD 0x02B2
0xFFFD 0x02B3
0xFFFD 0x02B4
0xFFFD 0x02B5
0xFFFD 0x02B6
0xFFFD 0x02B7
0xFFFD 0x02B8
0xFFFD 0x02B9
0xFFFD 0x02BA
0xFFFD 0x02BB
0xFFFD 0x02BC
0xFFFD 0x02BD
0xFFFD 0x02BE
0xFFFD 0x02BF
0xFFFD 0x02C0
0xFFFD 0x02C1
0xFFFD 0x02C2
0xFFFD 0x02C3
0xFFFD 0x02C4
0xFFFD 0x02C5
0xC6D9 0x02C6
0xA3BE 0x02C7
0xFFFD 0x02C8
0xA3BC 0x02C9
0xA3BD 0x02CA
0xA3BF 0x02CB
0xFFFD 0x02CC
0xA1C5 0x02CD
0xFFFD 0x02CE
0x9BE9 0x02CF
0xFFFD 0x02D0
0xFFFD 0x02D1
0xFFFD 0x02D2
0xFFFD 0x02D3
0xFFFD 0x02D4
0xFFFD 0x02D5
0xFFFD 0x02D6
0xFFFD 0x02D7
0xFFFD 0x02D8
0xA3BB 0x02D9
0xFFFD 0x02DA
0xFFFD 0x02DB
0xFFFD 0x02DC
0xFFFD 0x02DD
0xFFFD 0x02DE
0xFFFD 0x02DF
0xFFFD 0x02E0
0xFFFD 0x02E1
0xFFFD 0x02E2
0xFFFD 0x02E3
0xFFFD 0x02E4
0xFFFD 0x02E5
0xFFFD 0x02E6
0xFFFD 0x02E7
0xFFFD 0x02E8
0xFFFD 0x02E9
0xFFFD 0x02EA
0xFFFD 0x02EB
0xFFFD 0x02EC
0xFFFD 0x02ED
0xFFFD 0x02EE
0xFFFD 0x02EF
0xFFFD 0x02F0
0xFFFD 0x02F1
0xFFFD 0x02F2
0xFFFD 0x02F3
0xFFFD 0x02F4
0xFFFD 0x02F5
0xFFFD 0x02F6
0xFFFD 0x02F7
0xFFFD 0x02F8
0xFFFD 0x02F9
0xFFFD 0x02FA
0xFFFD 0x02FB
0xFFFD 0x02FC
0xFFFD 0x02FD
0xFFFD 0x02FE
0xFFFD 0x02FF
0xFFFD 0x0300
0xFFFD 0x0301
0xFFFD 0x0302
0xFFFD 0x0303
0xFFFD 0x0304
0xFFFD 0x0305
0xFFFD 0x0306
0xFFFD 0x0307
0xFFFD 0x0308
0xFFFD 0x0309
0xFFFD 0x030A
0xFFFD 0x030B
0xFFFD 0x030C
0xFFFD 0x030D
0xFFFD 0x030E
0xFFFD 0x030F
0xFFFD 0x0310
0xFFFD 0x0311
0xFFFD 0x0312
0xFFFD 0x0313
0xFFFD 0x0314
0xFFFD 0x0315
0xFFFD 0x0316
0xFFFD 0x0317
0xFFFD 0x0318
0xFFFD 0x0319
0xFFFD 0x031A
0xFFFD 0x031B
0xFFFD 0x031C
0xFFFD 0x031D
0xFFFD 0x031E
0xFFFD 0x031F
0xFFFD 0x0320
0xFFFD 0x0321
0xFFFD 0x0322
0xFFFD 0x0323
0xFFFD 0x0324
0xFFFD 0x0325
0xFFFD 0x0326
0xFFFD 0x0327
0xFFFD 0x0328
0xFFFD 0x0329
0xFFFD 0x032A
0xFFFD 0x032B
0xFFFD 0x032C
0xFFFD 0x032D
0xFFFD 0x032E
0xFFFD 0x032F
0xFFFD 0x0330
0xFFFD 0x0331
0xFFFD 0x0332
0xFFFD 0x0333
0xFFFD 0x0334
0xFFFD 0x0335
0xFFFD 0x0336
0xFFFD 0x0337
0xFFFD 0x0338
0xFFFD 0x0339
0xFFFD 0x033A
0xFFFD 0x033B
0xFFFD 0x033C
0xFFFD 0x033D
0xFFFD 0x033E
0xFFFD 0x033F
0xFFFD 0x0340
0xFFFD 0x0341
0xFFFD 0x0342
0xFFFD 0x0343
0xFFFD 0x0344
0xFFFD 0x0345
0xFFFD 0x0346
0xFFFD 0x0347
0xFFFD 0x0348
0xFFFD 0x0349
0xFFFD 0x034A
0xFFFD 0x034B
0xFFFD 0x034C
0xFFFD 0x034D
0xFFFD 0x034E
0xFFFD 0x034F
0xFFFD 0x0350
0xFFFD 0x0351
0xFFFD 0x0352
0xFFFD 0x0353
0xFFFD 0x0354
0xFFFD 0x0355
0xFFFD 0x0356
0xFFFD 0x0357
0xFFFD 0x0358
0xFFFD 0x0359
0xFFFD 0x035A
0xFFFD 0x035B
0xFFFD 0x035C
0xFFFD 0x035D
0xFFFD 0x035E
0xFFFD 0x035F
0xFFFD 0x0360
0xFFFD 0x0361
0xFFFD 0x0362
0xFFFD 0x0363
0xFFFD 0x0364
0xFFFD 0x0365
0xFFFD 0x0366
0xFFFD 0x0367
0xFFFD 0x0368
0xFFFD 0x0369
0xFFFD 0x036A
0xFFFD 0x036B
0xFFFD 0x036C
0xFFFD 0x036D
0xFFFD 0x036E
0xFFFD 0x036F
0xFFFD 0x0370
0xFFFD 0x0371
0xFFFD 0x0372
0xFFFD 0x0373
0xFFFD 0x0374
0xFFFD 0x0375
0xFFFD 0x0376
0xFFFD 0x0377
0xFFFD 0x0378
0xFFFD 0x0379
0xFFFD 0x037A
0xFFFD 0x037B
0xFFFD 0x037C
0xFFFD 0x037D
0xFFFD 0x037E
0xFFFD 0x037F
0xFFFD 0x0380
0xFFFD 0x0381
0xFFFD 0x0382
0xFFFD 0x0383
0xFFFD 0x0384
0xFFFD 0x0385
0xFFFD 0x0386
0xFFFD 0x0387
0xFFFD 0x0388
0xFFFD 0x0389
0xFFFD 0x038A
0xFFFD 0x038B
0xFFFD 0x038C
0xFFFD 0x038D
0xFFFD 0x038E
0xFFFD 0x038F
0xFFFD 0x0390
0xA344 0x0391
0xA345 0x0392
0xA346 0x0393
0xA347 0x0394
0xA348 0x0395
0xA349 0x0396
0xA34A 0x0397
0xA34B 0x0398
0xA34C 0x0399
0xA34D 0x039A
0xA34E 0x039B
0xA34F 0x039C
0xA350 0x039D
0xA351 0x039E
0xA352 0x039F
0xA353 0x03A0
0xA354 0x03A1
0xFFFD 0x03A2
0xA355 0x03A3
0xA356 0x03A4
0xA357 0x03A5
0xA358 0x03A6
0xA359 0x03A7
0xA35A 0x03A8
0xA35B 0x03A9
0xFFFD 0x03AA
0xFFFD 0x03AB
0xFFFD 0x03AC
0xFFFD 0x03AD
0xFFFD 0x03AE
0xFFFD 0x03AF
0xFFFD 0x03B0
0xA35C 0x03B1
0xA35D 0x03B2
0xA35E 0x03B3
0xA35F 0x03B4
0xA360 0x03B5
0xA361 0x03B6
0xA362 0x03B7
0xA363 0x03B8
0xA364 0x03B9
0xA365 0x03BA
0xA366 0x03BB
0xA367 0x03BC
0xA368 0x03BD
0xA369 0x03BE
0xA36A 0x03BF
0xA36B 0x03C0
0xA36C 0x03C1
0xFFFD 0x03C2
0xA36D 0x03C3
0xA36E 0x03C4
0xA36F 0x03C5
0xA370 0x03C6
0xA371 0x03C7
0xA372 0x03C8
0xA373 0x03C9
0xFFFD 0x03CA
0xFFFD 0x03CB
0xFFFD 0x03CC
0xFFFD 0x03CD
0xFFFD 0x03CE
0xFFFD 0x03CF
0xFFFD 0x03D0
0xFFFD 0x03D1
0xFFFD 0x03D2
0xFFFD 0x03D3
0xFFFD 0x03D4
0xFFFD 0x03D5
0xFFFD 0x03D6
0xFFFD 0x03D7
0xFFFD 0x03D8
0xFFFD 0x03D9
0xFFFD 0x03DA
0xFFFD 0x03DB
0xFFFD 0x03DC
0xFFFD 0x03DD
0xFFFD 0x03DE
0xFFFD 0x03DF
0xFFFD 0x03E0
0xFFFD 0x03E1
0xFFFD 0x03E2
0xFFFD 0x03E3
0xFFFD 0x03E4
0xFFFD 0x03E5
0xFFFD 0x03E6
0xFFFD 0x03E7
0xFFFD 0x03E8
0xFFFD 0x03E9
0xFFFD 0x03EA
0xFFFD 0x03EB
0xFFFD 0x03EC
0xFFFD 0x03ED
0xFFFD 0x03EE
0xFFFD 0x03EF
0xFFFD 0x03F0
0xFFFD 0x03F1
0xFFFD 0x03F2
0xFFFD 0x03F3
0xFFFD 0x03F4
0xFFFD 0x03F5
0xFFFD 0x03F6
0xFFFD 0x03F7
0xFFFD 0x03F8
0xFFFD 0x03F9
0xFFFD 0x03FA
0xFFFD 0x03FB
0xFFFD 0x03FC
0xFFFD 0x03FD
0xFFFD 0x03FE
0xFFFD 0x03FF
0xFFFD 0x0400
0xC7F9 0x0401
0xFFFD 0x0402
0xFFFD 0x0403
0xFFFD 0x0404
0xFFFD 0x0405
0xFFFD 0x0406
0xFFFD 0x0407
0xFFFD 0x0408
0xFFFD 0x0409
0xFFFD 0x040A
0xFFFD 0x040B
0xFFFD 0x040C
0xFFFD 0x040D
0xFFFD 0x040E
0xFFFD 0x040F
0xC7F3 0x0410
0xC7F4 0x0411
0xC7F5 0x0412
0xC7F6 0x0413
0xC7F7 0x0414
0xC7F8 0x0415
0xC7FA 0x0416
0xC7FB 0x0417
0xC7FC 0x0418
0xC7FD 0x0419
0xC7FE 0x041A
0xC840 0x041B
0xC841 0x041C
0xC842 0x041D
0xC843 0x041E
0xC844 0x041F
0xC845 0x0420
0xC846 0x0421
0xC847 0x0422
0xC848 0x0423
0xC849 0x0424
0xC84A 0x0425
0xC84B 0x0426
0xC84C 0x0427
0xC84D 0x0428
0xC84E 0x0429
0xC84F 0x042A
0xC850 0x042B
0xC851 0x042C
0xC852 0x042D
0xC853 0x042E
0xC854 0x042F
0xC855 0x0430
0xC856 0x0431
0xC857 0x0432
0xC858 0x0433
0xC859 0x0434
0xC85A 0x0435
0xC85C 0x0436
0xC85D 0x0437
0xC85E 0x0438
0xC85F 0x0439
0xC860 0x043A
0xC861 0x043B
0xC862 0x043C
0xC863 0x043D
0xC864 0x043E
0xC865 0x043F
0xC866 0x0440
0xC867 0x0441
0xC868 0x0442
0xC869 0x0443
0xC86A 0x0444
0xC86B 0x0445
0xC86C 0x0446
0xC86D 0x0447
0xC86E 0x0448
0xC86F 0x0449
0xC870 0x044A
0xC871 0x044B
0xC872 0x044C
0xC873 0x044D
0xC874 0x044E
0xC875 0x044F
0xFFFD 0x0450
0xC85B 0x0451
0xFFFD 0x0452
0xFFFD 0x0453
0xFFFD 0x0454
0xFFFD 0x0455
0xFFFD 0x0456
0xFFFD 0x0457
0xFFFD 0x0458
0xFFFD 0x0459
0xFFFD 0x045A
0xFFFD 0x045B
0xFFFD 0x045C
0xFFFD 0x045D
0xFFFD 0x045E
0xFFFD 0x045F
0xFFFD 0x0460
0xFFFD 0x0461
0xFFFD 0x0462
0xFFFD 0x0463
0xFFFD 0x0464
0xFFFD 0x0465
0xFFFD 0x0466
0xFFFD 0x0467
0xFFFD 0x0468
0xFFFD 0x0469
0xFFFD 0x046A
0xFFFD 0x046B
0xFFFD 0x046C
0xFFFD 0x046D
0xFFFD 0x046E
0xFFFD 0x046F
0xFFFD 0x0470
0xFFFD 0x0471
0xFFFD 0x0472
0xFFFD 0x0473
0xFFFD 0x0474
0xFFFD 0x0475
0xFFFD 0x0476
0xFFFD 0x0477
0xFFFD 0x0478
0xFFFD 0x0479
0xFFFD 0x047A
0xFFFD 0x047B
0xFFFD 0x047C
0xFFFD 0x047D
0xFFFD 0x047E
0xFFFD 0x047F
0xFFFD 0x0480
0xFFFD 0x0481
0xFFFD 0x0482
0xFFFD 0x0483
0xFFFD 0x0484
0xFFFD 0x0485
0xFFFD 0x0486
0xFFFD 0x0487
0xFFFD 0x0488
0xFFFD 0x0489
0xFFFD 0x048A
0xFFFD 0x048B
0xFFFD 0x048C
0xFFFD 0x048D
0xFFFD 0x048E
0xFFFD 0x048F
0xFFFD 0x0490
0xFFFD 0x0491
0xFFFD 0x0492
0xFFFD 0x0493
0xFFFD 0x0494
0xFFFD 0x0495
0xFFFD 0x0496
0xFFFD 0x0497
0xFFFD 0x0498
0xFFFD 0x0499
0xFFFD 0x049A
0xFFFD 0x049B
0xFFFD 0x049C
0xFFFD 0x049D
0xFFFD 0x049E
0xFFFD 0x049F
0xFFFD 0x04A0
0xFFFD 0x04A1
0xFFFD 0x04A2
0xFFFD 0x04A3
0xFFFD 0x04A4
0xFFFD 0x04A5
0xFFFD 0x04A6
0xFFFD 0x04A7
0xFFFD 0x04A8
0xFFFD 0x04A9
0xFFFD 0x04AA
0xFFFD 0x04AB
0xFFFD 0x04AC
0xFFFD 0x04AD
0xFFFD 0x04AE
0xFFFD 0x04AF
0xFFFD 0x04B0
0xFFFD 0x04B1
0xFFFD 0x04B2
0xFFFD 0x04B3
0xFFFD 0x04B4
0xFFFD 0x04B5
0xFFFD 0x04B6
0xFFFD 0x04B7
0xFFFD 0x04B8
0xFFFD 0x04B9
0xFFFD 0x04BA
0xFFFD 0x04BB
0xFFFD 0x04BC
0xFFFD 0x04BD
0xFFFD 0x04BE
0xFFFD 0x04BF
0xFFFD 0x04C0
0xFFFD 0x04C1
0xFFFD 0x04C2
0xFFFD 0x04C3
0xFFFD 0x04C4
0xFFFD 0x04C5
0xFFFD 0x04C6
0xFFFD 0x04C7
0xFFFD 0x04C8
0xFFFD 0x04C9
0xFFFD 0x04CA
0xFFFD 0x04CB
0xFFFD 0x04CC
0xFFFD 0x04CD
0xFFFD 0x04CE
0xFFFD 0x04CF
0xFFFD 0x04D0
0xFFFD 0x04D1
0xFFFD 0x04D2
0xFFFD 0x04D3
0xFFFD 0x04D4
0xFFFD 0x04D5
0xFFFD 0x04D6
0xFFFD 0x04D7
0xFFFD 0x04D8
0xFFFD 0x04D9
0xFFFD 0x04DA
0xFFFD 0x04DB
0xFFFD 0x04DC
0xFFFD 0x04DD
0xFFFD 0x04DE
0xFFFD 0x04DF
0xFFFD 0x04E0
0xFFFD 0x04E1
0xFFFD 0x04E2
0xFFFD 0x04E3
0xFFFD 0x04E4
0xFFFD 0x04E5
0xFFFD 0x04E6
0xFFFD 0x04E7
0xFFFD 0x04E8
0xFFFD 0x04E9
0xFFFD 0x04EA
0xFFFD 0x04EB
0xFFFD 0x04EC
0xFFFD 0x04ED
0xFFFD 0x04EE
0xFFFD 0x04EF
0xFFFD 0x04F0
0xFFFD 0x04F1
0xFFFD 0x04F2
0xFFFD 0x04F3
0xFFFD 0x04F4
0xFFFD 0x04F5
0xFFFD 0x04F6
